perturbation,dataset,n_cells,closest_severity,recovery_score,disease_score,dist_healthy,dist_mild,dist_moderate,dist_severe,dist_fatal,dist_recovered,sim_healthy,sim_mild,sim_moderate,sim_severe,sim_fatal,sim_recovered
BTF3L4_P1P2-1|BTF3L4_P1P2-2,hct116,7,recovered,20.795574,-1.6968153,82.818504,83.97006,83.18093,83.69948,83.00953,81.23478,0.01193054,0.011768851,0.011879175,0.011806448,0.011903412,0.012160305
PREX1_P1P2-1|PREX1_P1P2-2,hct116,10,recovered,20.795067,-0.3110007,79.32825,80.40671,79.54288,80.06544,79.37313,77.485344,0.012448921,0.012284,0.012415747,0.012335713,0.012441969,0.012741232
LRRN3_P1P2-1|LRRN3_P1P2-2,hct116,13,recovered,20.794615,-0.05763173,80.594,81.61342,80.769295,81.286896,80.58788,78.74692,0.012255803,0.012104571,0.012229529,0.012152603,0.012256722,0.01253967
TXNDC8_P1P2-1|TXNDC8_P1P2-2,hct116,17,recovered,20.79449,-0.21036577,82.198746,83.25146,82.38046,82.89763,82.176384,80.40857,0.012019412,0.011869231,0.011993217,0.011919288,0.012022643,0.012283719
OR5K3_ENST00000383695.1-1|OR5K3_ENST00000383695.1-2,hct116,8,recovered,20.794003,-0.003956884,82.83754,83.86729,83.03456,83.50505,82.818924,81.03475,0.011927831,0.011783103,0.011899866,0.011833612,0.01193048,0.012189955
LILRB2_P1P2-1|LILRB2_P1P2-2,hct116,9,recovered,20.793745,-1.4266162,81.78636,82.939766,82.050415,82.643906,81.923325,80.14712,0.0120792845,0.011913304,0.012040879,0.011955444,0.012059333,0.012323297
CENPO_P1P2-1|CENPO_P1P2-2,hct116,6,recovered,20.793056,-0.040257037,81.393654,82.408714,81.57698,82.07757,81.35592,79.56314,0.012136857,0.011989155,0.012109912,0.012036944,0.012142418,0.012412624
FLG_P1P2-1|FLG_P1P2-2,hct116,6,recovered,20.792927,-0.80377436,83.815056,84.86231,84.140465,84.57451,83.924324,82.13659,0.011790359,0.011646553,0.011745296,0.0116857225,0.011775189,0.012028398
ZBTB7C_P1-1|ZBTB7C_P1-2,hct116,6,recovered,20.79285,-1.2396328,80.78153,81.91567,80.99029,81.6255,80.9106,79.09675,0.012227699,0.012060446,0.012196567,0.0121028,0.012208432,0.012484902
CST9L_P1P2-1|CST9L_P1P2-2,hct116,5,recovered,20.792728,-0.36022907,82.12342,83.187035,82.395515,82.842,82.05063,80.35156,0.0120303035,0.0118783135,0.011991053,0.011927196,0.012040848,0.012292327
